modelId,since-create,since-last-model-update,has-license,what-license,what-library,what-task,num-commit,num-discussion,model-size,num-update,update-interval,since-last-update,num-update-contributor,isEnglish,num-code-block,num-inline-code,num-list,num-link,num-img,num-table,num-emoji,num-heading,num-word,has-description,has-uses,has-limitations-and-bias,has-training,has-evaluation,quality
vierlinglukas/PyramidsRND,-0.763878075,-0.713862213,-1.252793489,-0.810340341,-0.757185829,0.416565117,-0.446011826,-0.121623863,-0.214127239,-0.358147335,-0.454000961,-0.725068219,-0.260176026,0.202999486,-0.1507253,-0.326488017,-0.224351239,-0.076023159,-0.100524931,-0.486313316,0.315375399,-0.401076986,-0.247048898,0.53973304,-0.852438549,-0.242196651,-0.852438549,-0.580396994,1
MaziyarPanahi/Venomia-1.1-m7-Mistral-7B-Instruct-v0.1-GGUF,-0.767465979,-0.718160504,-1.252793489,-0.810340341,-0.297844606,0.690065644,-0.388971676,-0.121623863,-0.214127239,-0.358147335,-0.459074794,-0.728998268,-0.260176026,0.202999486,1.696268793,2.071221902,1.062749909,1.344325007,-0.100524931,-0.486313316,-0.136523566,0.662931894,0.887418105,-1.852767805,-0.852438549,-0.242196651,-0.852438549,-0.580396994,1
asun17904/anliR1-bert-base-uncased-kd,-0.771053883,-0.722458795,0.798216154,1.634967251,0.345233107,-1.361188309,6.85512726,-0.121623863,-0.200033942,18.28591107,-0.920793603,-0.732928318,-0.260176026,0.202999486,-0.414581599,1.214896931,0.016980226,-0.414201293,-0.100524931,0.604294654,-0.136523566,-0.691261226,-0.293562045,-1.852767805,1.173105088,-0.242196651,1.173105088,-0.580396994,0
adalib/hummingbot-data-codeparrot-prefix,-0.774641788,-0.726757086,-1.252793489,-0.810340341,-0.57344934,-1.361188309,-0.446011826,-0.121623863,-0.213969091,-0.358147335,-0.46922246,-0.736858367,-0.260176026,0.202999486,-0.414581599,-0.326488017,0.6605308,-0.278930039,-0.100524931,-0.486313316,-0.136523566,2.790949652,-0.058727376,-1.852767805,-0.852438549,-0.242196651,-0.852438549,-0.580396994,0
Namkoy/chatbot_math,-0.781817596,-0.735353668,-1.252793489,-0.810340341,1.217981431,-0.950937518,-0.446011826,-0.121623863,-0.183014751,-0.358147335,-0.479370126,-0.744718466,-0.260176026,0.202999486,-0.414581599,-0.326488017,0.580086979,-0.278930039,-0.100524931,-0.486313316,0.089425917,2.694221572,-0.037172503,-1.852767805,-0.852438549,-0.242196651,-0.852438549,-0.580396994,0
cecb/newsfinetune_mistral_full,-0.7854055,-0.739651959,-1.252793489,-0.810340341,1.217981431,0.690065644,-0.446011826,-0.121623863,-0.081385709,-0.358147335,-0.484443959,-0.748648516,-0.260176026,0.202999486,-0.414581599,-0.326488017,0.580086979,-0.278930039,-0.100524931,-0.486313316,0.089425917,2.694221572,-0.037172503,-1.852767805,-0.852438549,-0.242196651,-0.852438549,-0.580396994,0
Patcas/plbartAssert-nodocnew-v3,-0.788993405,-0.74395025,-1.252793489,-0.810340341,1.080179064,1.237066698,0.067349516,-0.121623863,-0.196202314,-0.206569624,-0.707692614,-0.752578566,-0.260176026,0.202999486,-0.414581599,-0.326488017,0.258311691,-0.346565666,-0.100524931,0.604294654,-0.136523566,-0.014164666,-0.244779964,0.53973304,1.173105088,-0.242196651,1.173105088,-0.580396994,0
ibivibiv/multimaster-7b-v3,-0.796169213,-0.877197271,0.798216154,-0.461010685,1.217981431,0.690065644,-0.217851229,-0.042557921,4.34540374,-0.054991913,-0.78380011,-0.874410102,1.439939732,0.202999486,-0.414581599,-0.326488017,0.580086979,-0.143658785,-0.100524931,0.604294654,0.089425917,2.790949652,0.001399376,-1.852767805,-0.852438549,-0.242196651,-0.852438549,1.722958615,0
shahabctg/AutoCADShip,-0.799757118,-0.756845123,0.798216154,-0.461010685,-1.354329419,-1.361188309,-0.217851229,-0.121623863,-0.051077899,-0.206569624,-0.712766447,-0.764368714,-0.260176026,0.202999486,-0.414581599,-0.326488017,-0.70701417,-0.414201293,-0.100524931,-0.486313316,-0.136523566,-0.787989306,-0.383184939,0.53973304,-0.852438549,-0.242196651,-0.852438549,-0.580396994,0
FatmaYoussef/q-taxi-v3,-0.803345022,-0.761143414,-1.252793489,-0.810340341,-1.584000031,0.416565117,-0.446011826,-0.121623863,-0.214127239,-0.358147335,-0.509813124,-0.768298764,-0.260176026,0.202999486,-0.1507253,-0.326488017,-0.70701417,-0.414201293,-0.100524931,-0.486313316,-0.136523566,-0.594533146,-0.354823264,0.53973304,-0.852438549,-0.242196651,-0.852438549,-0.580396994,1
shivanikerai/Llama-2-7b-chat-hf-adapter-sku-title-ner-generation-rtc-rte-v1,-0.814108735,-0.774038287,-1.252793489,-0.810340341,-0.527515217,-1.361188309,-0.446011826,-0.121623863,-0.175238707,-0.358147335,-0.525034624,-0.780088912,-0.260176026,0.202999486,-0.414581599,-0.326488017,0.6605308,-0.278930039,-0.100524931,-0.486313316,-0.136523566,2.790949652,-0.058727376,-1.852767805,-0.852438549,-0.242196651,-0.852438549,-0.580396994,0
pgajo/mbert-xlwa-en-it_EW-TT-PE_U0_S1_DROP1_mbert_E9_DEV76.0,-0.821284543,-0.782634869,-1.252793489,-0.810340341,1.217981431,0.279814853,-0.388971676,-0.121623863,-0.191312985,-0.358147335,-0.53518229,-0.787949012,-0.260176026,0.202999486,-0.1507253,-0.326488017,-0.70701417,-0.414201293,-0.100524931,0.604294654,-0.136523566,-0.787989306,-0.21982169,0.53973304,-0.852438549,-0.242196651,-0.852438549,-0.580396994,0
